id,name,iso_country,iso_region,municipality,iata_code
14559,Fort Bragg Airport,US,US-CA,Fort Bragg,FOB
14620,Port of Poulsbo Marina Moorage Seaplane Base,US,US-WA,Poulsbo,PUL
14633,Century City Heliport,US,US-CA,Los Angeles,CCD
14642,Meyers Chuck Seaplane Base,US,US-AK,Meyers Chuck,WMK
19113,Maxson Airfield,US,US-NY,Alexandria Bay,AXB
15267,Reese Airpark,US,US-TX,Lubbock,REE
15300,Waldron Airstrip,US,US-WA,Eastsound,WDN
15514,Whale Pass Seaplane Float Harbor Facility,US,US-AK,Whale Pass,WWP
15640,Chuathbaluk Airport,US,US-AK,Chuathbaluk,CHU
15641,Ugashik Airport,US,US-AK,Ugashik,UGS
15836,Philadelphia Seaplane Base,US,US-PA,Essington,PSQ
